#Energy,TDOS-UP,TDOS-DOWN
7.59727,0.4081,-0.3559
7.62027,0.3854,-0.3437
7.64327,0.3832,-0.2772
7.66727,0.4056,-0.1928
7.69027,0.411,-0.1399
7.71327,0.3678,-0.1435
7.73727,0.2853,-0.1824
7.76027,0.1921,-0.2161
7.78327,0.113,-0.237
7.80727,0.06862,-0.2642
7.83027,0.06583,-0.3068
7.85327,0.0841,-0.3585
7.87727,0.09193,-0.3966
7.90027,0.0811,-0.4014
7.92327,0.07004,-0.3875
7.94727,0.07156,-0.3818
7.97027,0.07275,-0.385
7.99327,0.05903,-0.3868
8.01727,0.04012,-0.384
8.04027,0.03421,-0.3657
8.06327,0.04985,-0.3163
8.08727,0.08697,-0.2511
8.11027,0.1256,-0.2165
8.13327,0.1295,-0.2379
8.15727,0.09272,-0.298
8.18027,0.05438,-0.3648
8.20327,0.05066,-0.4083
8.22727,0.07774,-0.4002
8.25027,0.09926,-0.3325
8.27327,0.08766,-0.2383
8.29727,0.05897,-0.1612
8.32027,0.05039,-0.1084
